x,label
1,E7
2,E6
3,E7
4,E6
5,E6
6,E5
7,E5
8,E6
9,E3
10,E3
11,E5
12,E5
13,E7
14,E7
15,E7
16,E6
17,E4
18,E6
19,E6
20,E5
21,E4
22,E5
23,E7
24,E3
25,E7
26,E6
27,E4
28,E7
29,E6
30,E7
31,E4
32,E7
33,E4
34,E5
35,E6
36,E3
37,E5
38,E6
39,E7
40,E6
41,E7
42,E5
43,E7
44,E6
45,E6
46,E4
47,E6
48,E4
49,E6
50,E6
51,E7
52,E5
53,E6
54,E5
55,E6
56,E4
57,E4
58,E6
59,E6
60,E6
61,E6
62,E3
63,E6
64,E7
65,E6
66,E7
67,E5
68,E7
69,E5
70,E3
71,E6
72,E5
73,E3
74,E7
75,E7
76,E7
77,E7
78,E3
79,E7
80,E5
81,E4
82,E6
83,E5
84,E5
85,E6
86,E3
87,E6
88,E5
89,E3
90,E4
91,E5
92,E5
93,E7
94,E7
95,E7
96,E5
97,E7
98,E3
99,E7
100,E6
101,E5
102,E5
103,E5
104,E4
105,E7
106,E4
107,E7
108,E7
109,E5
110,E7
111,E5
112,E6
113,E6
114,E7
115,E3
116,E7
117,E7
118,E5
119,E6
120,E7
121,E7
122,E4
123,E5
124,E7
125,E6
126,E6
127,E7
128,E5
129,E7
130,E3
131,E7
132,E7
133,E3
134,E6
135,E7
136,E5
137,E5
138,E6
139,E3
140,E7
141,E3
142,E3
143,E7
144,E7
145,E5
146,E7
147,E6
148,E4
149,E5
150,E4
151,E5
152,E7
153,E7
154,E6
155,E7
156,E7
157,E7
158,E7
159,E6
160,E7
161,E7
162,E7
163,E5
164,E6
165,E6
166,E4
167,E6
168,E5
169,E5
170,E5
171,E6
172,E7
173,E4
174,E4
175,E5
176,E4
177,E7
178,E5
179,E6
180,E7
181,E4
182,E5
183,E7
184,E7
185,E4
186,E7
187,E7
188,E7
189,E5
190,E7
191,E7
192,E7
193,E4
194,E5
195,E7
196,E5
197,E4
198,E6
199,E6
200,E7
201,E6
202,E5
203,E5
204,E3
205,E7
206,E4
207,E5
208,E7
209,E5
210,E3
211,E7
212,E6
213,E5
214,E6
215,E7
216,E7
217,E5
218,E7
219,E6
220,E6
221,E4
222,E6
223,E5
224,E4
225,E5
226,E6
227,E7
228,E6
229,E7
230,E6
231,E6
232,E6
233,E7
234,E6
235,E6
236,E7
237,E7
238,E5
239,E4
240,E5
241,E6
242,E5
243,E3
244,E6
245,E5
246,E7
247,E7
248,E6
249,E7
250,E5
251,E7
252,E5
253,E6
254,E5
255,E5
256,E4
257,E7
258,E6
259,E6
260,E6
261,E7
262,E7
263,E6
264,E5
265,E6
266,E6
267,E7
268,E7
269,E6
270,E7
271,E7
272,E5
273,E5
274,E7
275,E3
276,E6
277,E4
278,E4
279,E6
280,E3
281,E7
282,E5
283,E6
284,E7
285,E5
286,E7
287,E5
288,E7
289,E6
290,E7
291,E7
292,E7
293,E5
294,E4
295,E6
296,E6
297,E5
298,E7
299,E5
300,E6
301,E4
302,E6
303,E7
304,E5
305,E5
306,E5
307,E6
308,E6
309,E6
310,E6
311,E5
312,E6
313,E6
314,E7
315,E6
316,E5
317,E6
318,E5
319,E4
320,E7
321,E7
322,E3
323,E7
324,E4
325,E7
326,E7
327,E7
328,E7
329,E7
330,E7
331,E4
332,E7
333,E4
334,E5
335,E7
336,E7
337,E7
338,E6
339,E4
340,E6
341,E4
342,E6
343,E7
344,E7
345,E5
346,E5
347,E4
348,E5
349,E4
350,E6
351,E6
352,E7
353,E6
354,E7
355,E3
356,E7
357,E6
358,E6
359,E5
360,E6
361,E4
362,E4
363,E4
364,E5
365,E7
366,E5
367,E6
368,E6
369,E6
370,E5
371,E5
372,E3
373,E7
374,E5
375,E5
376,E6
377,E7
378,E6
379,E6
380,E6
381,E7
382,E7
383,E3
384,E5
385,E5
386,E6
387,E4
388,E5
389,E7
390,E5
391,E5
392,E7
393,E5
394,E5
395,E6
396,E3
397,E5
398,E6
399,E7
400,E5
401,E4
402,E4
403,E6
404,E5
405,E4
406,E6
407,E5
408,E6
409,E5
410,E7
411,E5
412,E7
413,E6
414,E7
415,E3
416,E6
417,E5
418,E5
419,E6
420,E5
421,E6
422,E4
423,E4
424,E3
425,E6
426,E6
427,E5
428,E5
429,E6
430,E6
431,E5
432,E4
433,E3
434,E6
435,E5
436,E5
437,E7
438,E6
439,E7
440,E7
441,E5
442,E7
443,E4
444,E6
445,E7
446,E5
447,E6
448,E4
449,E6
450,E4
451,E7
452,E7
453,E6
454,E7
455,E6
456,E4
457,E5
458,E6
459,E7
460,E4
461,E6
462,E7
463,E5
464,E6
465,E6
466,E7
467,E7
468,E5
469,E5
470,E5
471,E5
472,E7
473,E4
474,E7
475,E6
476,E6
477,E7
478,E6
479,E5
480,E5
481,E7
482,E3
483,E5
484,E7
485,E5
486,E5
487,E6
488,E5
489,E4
490,E6
491,E6
492,E6
493,E6
494,E7
495,E3
496,E7
497,E7
498,E6
499,E7
500,E7
501,E5
502,E7
503,E4
504,E7
505,E5
506,E6
507,E7
508,E4
509,E5
510,E4
511,E6
512,E6
513,E5
514,E6
515,E7
516,E7
517,E6
518,E6
519,E6
520,E4
521,E7
522,E7
523,E7
524,E4
525,E5
526,E4
527,E6
528,E4
529,E5
530,E5
531,E7
532,E7
533,E5
534,E6
535,E7
536,E5
537,E3
538,E5
539,E4
540,E7
541,E5
542,E6
543,E7
544,E6
545,E5
546,E6
547,E7
548,E5
549,E7
550,E4
551,E6
552,E4
553,E5
554,E5
555,E7
556,E7
557,E6
558,E7
559,E5
560,E6
561,E7
562,E4
563,E5
564,E7
565,E7
566,E6
567,E7
568,E7
569,E7
570,E5
571,E5
572,E7
573,E5
574,E3
575,E7
576,E5
577,E6
578,E6
579,E4
580,E7
581,E6
582,E6
583,E4
584,E6
585,E4
586,E4
587,E4
588,E6
589,E6
590,E5
591,E5
592,E7
593,E7
594,E7
595,E6
596,E5
597,E7
598,E6
599,E6
600,E5
601,E7
602,E6
603,E7
604,E4
605,E7
606,E7
607,E6
608,E7
609,E5
610,E4
611,E5
612,E7
613,E7
614,E6
615,E7
616,E6
617,E5
618,E7
619,E5
620,E6
621,E7
622,E6
623,E5
624,E7
625,E6
626,E6
627,E4
628,E5
629,E5
630,E4
631,E6
632,E5
633,E5
634,E7
635,E7
636,E5
637,E7
638,E5
639,E6
640,E6
641,E5
642,E7
643,E4
644,E6
645,E6
646,E6
647,E5
648,E4
649,E7
650,E6
651,E7
652,E7
653,E5
654,E6
655,E5
656,E7
657,E5
658,E5
659,E5
660,E7
661,E4
662,E5
663,E7
664,E5
665,E6
666,E7
667,E6
668,E7
669,E5
670,E7
671,E7
672,E6
673,E6
674,E7
675,E4
676,E7
677,E7
678,E7
679,E3
680,E6
681,E5
682,E7
683,E7
684,E3
685,E5
686,E6
687,E7
688,E7
689,E4
690,E6
691,E4
692,E6
693,E5
694,E7
695,E6
696,E6
697,E6
698,E6
699,E7
700,E5
701,E6
702,E4
703,E7
704,E6
705,E5
706,E6
707,E5
708,E7
709,E5
710,E4
711,E7
712,E4
713,E6
714,E5
715,E7
716,E6
717,E6
718,E7
719,E7
720,E6
721,E6
722,E7
723,E3
724,E5
725,E4
726,E6
727,E6
728,E5
729,E6
730,E6
731,E3
732,E7
733,E5
734,E4
735,E7
736,E4
737,E7
738,E7
739,E6
740,E3
741,E6
742,E5
743,E7
744,E6
745,E5
746,E5
747,E6
748,E7
749,E7
750,E6
751,E6
752,E7
753,E7
754,E4
755,E6
756,E4
757,E6
758,E6
759,E5
760,E5
761,E6
762,E5
763,E4
764,E3
765,E5
766,E7
767,E4
768,E7
769,E4
770,E7
771,E3
772,E7
773,E5
774,E6
775,E5
776,E7
777,E6
778,E7
779,E7
780,E6
781,E3
782,E7
783,E5
784,E7
785,E3
786,E5
787,E5
788,E5
789,E6
790,E5
791,E6
792,E5
793,E7
794,E5
795,E5
796,E5
797,E5
798,E5
799,E5
800,E7
801,E5
802,E5
803,E7
804,E7
805,E6
806,E5
807,E6
808,E6
809,E3
810,E5
811,E3
812,E5
813,E6
814,E7
815,E7
816,E7
817,E7
818,E4
819,E3
820,E4
821,E6
822,E7
823,E7
824,E7
825,E4
826,E5
827,E4
828,E3
829,E6
830,E7
831,E7
832,E6
833,E7
834,E3
835,E4
836,E5
837,E3
838,E5
839,E6
840,E7
841,E5
842,E7
843,E7
844,E3
845,E6
846,E7
847,E7
848,E7
849,E7
850,E7
851,E5
852,E5
853,E6
854,E6
855,E4
856,E3
857,E5
858,E6
859,E6
860,E7
861,E4
862,E7
863,E7
864,E4
865,E4
866,E7
867,E7
868,E7
869,E3
870,E6
871,E7
872,E5
873,E6
874,E6
875,E7
876,E6
877,E4
878,E5
879,E6
880,E6
881,E6
882,E7
883,E7
884,E6
885,E7
886,E6
887,E5
888,E7
889,E7
890,E7
891,E5
892,E5
893,E6
894,E5
895,E7
896,E7
897,E4
898,E5
899,E6
900,E7
901,E4
902,E7
903,E4
904,E4
905,E7
906,E6
907,E6
908,E6
909,E6
910,E6
911,E7
912,E5
913,E4
914,E5
915,E6
916,E7
917,E6
918,E5
919,E5
920,E7
921,E6
922,E6
923,E6
924,E7
925,E6
926,E5
927,E7
928,E6
929,E5
930,E7
931,E5
932,E5
933,E5
934,E7
935,E4
936,E5
937,E7
938,E6
939,E4
940,E7
941,E6
942,E7
943,E6
944,E7
945,E7
946,E7
947,E5
948,E6
949,E6
950,E6
951,E5
952,E5
953,E6
954,E5
955,E6
956,E5
957,E6
958,E4
959,E7
960,E5
961,E5
962,E4
963,E6
964,E7
965,E7
966,E7
967,E6
968,E7
969,E7
970,E4
971,E6
972,E4
973,E6
974,E6
975,E4
976,E5
977,E6
978,E5
979,E4
980,E4
981,E7
982,E5
983,E5
984,E6
985,E3
986,E7
987,E6
988,E5
989,E5
990,E7
991,E7
992,E7
993,E4
994,E6
995,E7
996,E5
997,E7
998,E5
999,E5
1000,E5
1001,E6
1002,E5
1003,E4
1004,E7
1005,E6
1006,E6
1007,E6
1008,E3
1009,E6
1010,E7
1011,E6
1012,E6
1013,E7
1014,E5
1015,E6
1016,E6
1017,E5
1018,E7
1019,E5
1020,E3
1021,E5
1022,E5
1023,E5
1024,E6
1025,E5
1026,E7
1027,E7
1028,E4
1029,E7
1030,E5
1031,E7
1032,E4
1033,E5
1034,E5
1035,E5
1036,E7
1037,E5
1038,E4
1039,E6
1040,E6
1041,E6
1042,E6
1043,E3
1044,E5
1045,E5
1046,E7
1047,E5
1048,E7
1049,E4
1050,E6
1051,E5
1052,E4
1053,E5
1054,E6
1055,E7
1056,E6
1057,E3
1058,E3
1059,E6
1060,E3
1061,E7
1062,E6
1063,E7
1064,E4
1065,E5
1066,E6
1067,E7
1068,E5
1069,E7
1070,E7
1071,E7
1072,E4
1073,E5
1074,E6
1075,E5
1076,E6
1077,E7
1078,E7
1079,E6
1080,E5
1081,E4
1082,E7
1083,E5
1084,E5
1085,E7
1086,E6
1087,E7
1088,E5
1089,E5
1090,E6
1091,E7
1092,E5
1093,E6
1094,E6
1095,E5
1096,E6
1097,E4
1098,E3
1099,E7
1100,E3
1101,E3
1102,E6
1103,E5
1104,E6
1105,E4
1106,E5
1107,E5
1108,E7
1109,E4
1110,E7
1111,E5
1112,E7
1113,E6
1114,E7
1115,E5
1116,E7
1117,E4
1118,E5
